A2M6	107.55	107.55	107.55	107.55	0.38
A2S6	105.00	105.76	105.76	106.78	2.09
AA17	1452.00	1436.25	1436.25	1429.36	36.56
AD16	1460.00	1440.27	1440.27	1440.27	21.02
AF17	1353.00	1349.02	1349.02	1347.03	31.48
AJ17	1320.00	1312.06	1312.06	1310.08	14.47
AL16	103.50	104.31	104.31	104.71	0.35
AM17	102.80	103.76	103.76	104.37	2.35
AM18	1316.00	1294.15	1294.15	1307.06	30.19
AM20	104.80	104.80	104.80	104.80	0.00
AN18	1600.00	1604.95	1604.95	1585.14	28.21
AO16	1390.00	1384.03	1384.03	1384.03	25.50
AO17	102.90	103.31	103.31	104.73	3.01
AO20	1546.00	1543.99	1543.99	1552.02	39.59
AS16	103.30	104.23	104.23	105.45	2.71
AY16	106.55	107.10	107.10	107.10	0.37
AY24	1551.00	1538.65	1538.65	1473.12	37.37
BADER	1435.00	1420.10	1420.10	1425.07	12.26
BD2C9	1235.00	1229.98	1229.98	1240.02	20.95
BDC18	1365.00	1365.00	1365.00	1370.02	11.93
BDC19	1370.00	1354.83	1354.83	1385.17	48.58
BDC20	1245.00	1245.00	1245.00	1260.18	13.00
BDED	298.00	286.02	286.02	285.54	54.37
BP18	1540.00	1535.02	1535.02	1535.02	1.77
BP28	1690.00	1690.00	1690.00	1690.00	0.00
BP21	1630.00	1625.02	1625.02	1625.02	1.77
BPLD	980.00	935.41	935.41	910.33	25.06
BPLE	1076.00	1005.83	1005.83	1006.76	27.10
BPMD	1309.00	1309.00	1309.00	1308.00	459.51
CEDI	1330.00	1310.58	1310.58	1291.17	24.46
CO17	295.00	295.00	295.00	282.55	10.92
CUAP	396.00	412.07	412.07	410.51	10.56
DIA0	2090.00	1978.53	1978.53	1941.38	68.71
DICA	2129.00	2021.85	2021.85	1983.65	69.44
DICP	521.40	527.46	527.46	526.86	7.49
DICY	2150.00	1848.83	1848.83	1798.64	139.26
DIP0	500.00	500.00	500.00	490.21	6.87
DIY0	2355.00	2355.00	2355.00	2355.00	0.00
ERG16	169.00	171.56	171.56	86.55	58.53
GJ17	1535.00	1372.47	1372.47	1386.01	67.14
GJ17D	114.60	114.60	114.60	114.60	0.00
NDG1	160.00	160.00	160.00	160.00	3.09
NDG21	885.00	804.55	804.55	791.14	35.83
NF18	118.20	113.10	113.10	114.75	3.55
PAA0	905.00	876.23	876.23	840.03	17.73
PAP0	249.00	249.00	249.00	249.00	0.00
PARA	911.00	853.23	853.23	809.68	28.76
PARP	253.00	263.04	263.04	254.00	10.92
PARY	920.00	848.89	848.89	817.78	37.58
PAY0	970.00	970.00	970.00	970.00	26.69
PMD18	850.00	855.06	855.06	860.12	36.85
PMO18	775.00	697.95	697.95	702.49	34.05
PMY16	150.00	150.00	150.00	150.00	5.84
PR13	347.00	354.45	354.45	369.35	9.48
PR15	163.60	165.93	165.93	169.40	4.20
PUO19	1150.00	1151.00	1151.00	1155.02	26.04
RNG21	310.00	310.00	310.00	310.00	5.77
TVPA	143.00	141.46	141.46	138.08	7.01
TVPE	170.50	170.50	170.50	170.50	5.89
TVPP	9.60	9.60	9.60	9.22	0.20
TVPY	152.00	147.16	147.16	147.16	5.90
TVY0	146.50	143.08	143.08	143.08	7.00
